name,age,weight,currency,isEmployed,employeeId,dob,recordCreatedAt
"Alice Smith","String",65.2000,USD,true,"601a13cf-eaa4-48f3-9e88-c92ecc386dfe",1989-07-20,1970-01-01T00:00:00Z
"Bob Johnson",45,78.9000,EUR,false,"c0b75f54-c6df-4331-a981-0378b14f79d3",1977-03-12,1970-01-01T00:00:00Z
"Charlie Brown",28,70.0000,GBP,true,"939d576c-49e2-4d09-865f-4eb7f224c89d",1993-11-05,1970-01-01T00:00:00Z
"Diana Miller",38,55.5000,CAD,true,"c1bb2e07-2332-4b74-b9ad-3703460dd3ec",1984-09-18,1970-01-01T00:00:00Z
"Edward Davis",50,82.3000,AUD,false,"fedf4cbd-c36c-4ab9-99c9-d2176c793404",1972-01-30,1970-01-01T00:00:00Z
"Fiona White",27,68.7000,JPY,true,"9f3ca552-a7ca-4c3b-9ac7-3f27849cd724",1995-04-08,1970-01-01T00:00:00Z
"George Smith",33,75.6000,CHF,false,"38e3286b-b442-4208-995f-d45280ea1fc1",1988-06-14,1970-01-01T00:00:00Z
"Helen Brown",42,60.8000,INR,true,"f8324d58-75d7-4987-ae1e-28f1bbaa8f92",1979-10-22,1970-01-01T00:00:00Z
"Ivan Johnson",29,73.1000,CNY,false,"f8cd918e-3e96-4417-8322-22c5e9f98d5c",1992-08-03,1970-01-01T00:00:00Z
"Jack Miller",36,77.4000,SGD,true,"6f8be127-131e-47cf-8140-f7254e5ee67b",1985-02-17,1970-01-01T00:00:00Z
